Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ 06-26,Buy,2,29954.25,5/28/2026 9:44:05 AM,d5394025231b48d58c479feeaf4abc8c,Exit,4 S,a0d10eb1369e4da7a9a4ecfd2f842ff2,Target1,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Buy,2,29954.25,5/28/2026 9:44:05 AM,896d5fce085047928cd09e183e1512ca,Exit,4 S,f90681edcaf24c83aed8ba6b6762c3c5,Target1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,6,29960.50,5/28/2026 9:44:03 AM,b31cbb86a7ef4122945e9b451d03485f,Entry,6 S,6ddd8788e38d43d3852bb954dd11bde8,Entry,$5.10,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29960.25,5/28/2026 9:44:03 AM,56c72b371f904c01b1dc085882e83e4f,Entry,6 S,8b3ae9a53a3a4bd89a893794b00d6d1c,Entry,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Sell,4,29960.50,5/28/2026 9:44:03 AM,ee0f5cc85fab4409babbf419c615f434,Entry,4 S,8b3ae9a53a3a4bd89a893794b00d6d1c,Entry,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Buy,2,29992.50,5/28/2026 9:39:14 AM,95e93fde496047668f128c711f306eea,Exit,-,985d7726a2a04657b75d10be05b52366,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29992.75,5/28/2026 9:39:14 AM,19853a03fbbe41328d73df6351ae7423,Exit,2 S,70a2cf8a17ab4ba191a4529967833b71,Stop2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29992.50,5/28/2026 9:39:14 AM,48548dfe78324f29976226f9ba98b0ee,Exit,3 S,70a2cf8a17ab4ba191a4529967833b71,Stop2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29988.75,5/28/2026 9:39:12 AM,c42918ae6183438e83d3504587e54d7c,Exit,4 S,d4549e918db44127a7067df6cfd52915,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29988.50,5/28/2026 9:39:12 AM,6bf9ff26171e4a409081f13f55910749,Exit,5 S,d4549e918db44127a7067df6cfd52915,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,5,29994.75,5/28/2026 9:37:16 AM,b9a2a09077634379a42833637845ab39,Entry,6 S,a2be0610f11c4733ba607c67b973690a,Entry,$4.25,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29995.00,5/28/2026 9:37:16 AM,c39fd3872a194ea49641716403591f2a,Entry,1 S,a2be0610f11c4733ba607c67b973690a,Entry,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30065.75,5/28/2026 9:30:01 AM,3dfe6d95b8d1480291031153736760b6,Exit,-,41e1994b23984d27982b9ce0fc83af6f,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30065.75,5/28/2026 9:30:01 AM,31f8d2b39d734cf799ffc434b74c5360,Exit,2 L,efd489dcb4a6475797ad4bea8ead1ee6,Stop2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30069.50,5/28/2026 9:30:00 AM,78defb7ab6ef4f6a8903602fcdfce957,Exit,4 L,3608b8e057b040049f7146f425fd417e,Target1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,4,30063.50,5/28/2026 9:26:21 AM,1901a6f3b98e4c1397e27a7863e41cbc,Entry,6 L,4b33ed2ab9cb4231a075be119355dd64,Entry,$3.40,1,Sim101,Lucid,
MNQ 06-26,Buy,2,30063.25,5/28/2026 9:26:21 AM,13e92deb5edf4cd6a3031dced71ce34e,Entry,2 L,4b33ed2ab9cb4231a075be119355dd64,Entry,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29965.50,5/28/2026 8:30:25 AM,88bf49ccb572436a8bd9602c50493a87,Exit,-,b3cda50625ab4a0e858413f2e80da90d,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29975.50,5/28/2026 8:30:14 AM,e5fbc824ad054d358796ebb6557296a3,Exit,2 L,8fbdb94a7fb4449184948715cb1ad7b4,Target2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29975.50,5/28/2026 8:30:14 AM,00c0a05a3a6048f0880871a7381cfb6a,Exit,3 L,8fbdb94a7fb4449184948715cb1ad7b4,Target2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29969.25,5/28/2026 8:30:11 AM,3f566f9da09044c6b371b7e61688970c,Exit,4 L,849198a79e9341c0ab767754a1269296,Target1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,6,29963.00,5/28/2026 8:30:10 AM,5dd99ed003a34f05951d5af1ad4b35d0,Entry,6 L,2444d8639eca487c98a8523b875bfc82,Entry,$5.10,1,Sim101,Lucid,
